cbp_id,cbp_provider_id,cbp_provider_name,cbp_name,cbp_type,batch_id,batch_name,batch_start_date,batch_end_date,cbp_duration,cbp_rating,last_published_on,cbp_retired_on,cbp_status,resource_count,total_certificates_issued,cbp_substatus,data_last_generated_on
do_113970200077615104145,01358551122316492877,National Disaster Response Force (NDRF),Cloudburst-Disaster Response Training,Course,"","","","",00:35:00,"","","",Review,0,"",Reviewed,2024-02-28 02:03:31 AM
do_1134149303858216961328,01341208111149875242,Ministry of Power,Fundamentals of Energy Modelling,Course,"","","","",04:39:14,4.54054054054054,2023-04-19,"",Live,13,163,SentToPublish,2024-02-28 02:03:31 AM
do_1136146152813608961452,0133872821604761600,Institute of Secretariat Training and Management,Assessment of Pre-Classroom Training for Section Officers,Course,"","","","",01:40:00,"",2022-09-02,2022-09-02,Retired,2,38,SentToPublish,2024-02-28 02:03:31 AM
do_1137216426034790401100,013417187944456192130,NTIPRIT,Identity Authentication Authorization and Accounting,Course,"","","","",00:00:00,"","",2023-01-29,Retired,0,"","",2024-02-28 02:03:31 AM
do_1137334140581724161265,013417187944456192130,NTIPRIT,Roles and Responsibilities of Technology Vertical of DoT LSAs Part 1,Course,"","","","",02:21:11,4.730769230769231,2023-02-17,"",Live,22,85,SentToPublish,2024-02-28 02:03:31 AM
do_1138178595866951681120,013594775897538560248,Department of Posts,MG Module 2 - DOP Products,Course,"","","","",01:33:49,4.5,2023-06-14,"",Retired,12,131,SentToPublish,2024-02-28 02:03:31 AM
do_1138220043514593281355,01341136245758361636,Department of Personnel and Training DoPT,Stress Management,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138402787617505281101,0138191431568424961875,Haryana Institute of Public Administration,Course on GeM,Course,"","","","",00:30:00,4.288888888888889,2023-07-20,"",Retired,2,847,SentToPublish,2024-02-28 02:03:31 AM
do_113848951408312320115,0134801498081607683527,National Academy of Direct Taxes NADT,Rajbhasha1,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138660109434798081155,013856570457464832252,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN)",Import Export through Foreign Post Office,Course,"","","","",00:31:06,4.567839195979899,2023-08-21,"",Live,3,1367,SentToPublish,2024-02-28 02:03:31 AM
do_113883606129721344196,013586329688137728133,Indian Institute of Forest Management (IIFM) Bhopal Madhya Pradesh,demo iifm,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138919927141007361245,013690365495009280364,Steel Authority of India Ltd,Business Acumen: Understanding Financial Statements,Course,"","","","",01:53:56,"","","",Draft,0,"",InReview,2024-02-28 02:03:31 AM
do_1138963615408783361352,013616592545947648401,Sashastra Seema Bal (SSB),Benefits of Cardiorespiratory endurance training,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_11390618492591308816,01341136245758361636,Department of Personnel and Training DoPT,Training program test,Program,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1139280817790484481148,013758892812648448452,National Thermal Power Corporation (NTPC) Limited,"Hazard Identification, Risk Assessment And Control (Hindi)",Course,"","","","",00:41:04,4.3076923076923075,2023-11-20,"",Live,2,221,SentToPublish,2024-02-28 02:03:31 AM
do_11393735518833868816,0133872821604761600,Institute of Secretariat Training and Management,Chargesheet under CCS(CCA) Rules 1965,Course,"","","","",00:23:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113955329129054208129,01341136245758361636,Department of Personnel and Training DoPT,"nvnvjhvjn ,jv",Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113387658431504384150,0133872821604761600,Institute of Secretariat Training and Management,Code of Conduct for Government Employees,Course,"","","","",00:24:00,5.0,2021-11-01,2022-11-22,Retired,1,44,Reviewed,2024-02-28 02:03:31 AM
do_113432584200699904128,0133809553768366080,CBP Karmayogi,What Is Linux & It's Basic Commands,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113475152404635648148,01341289657531596898,Ministry of Agriculture and Farmers Welfare,PM KISAN Self Registration,Course,"","","","",00:10:00,"","","",Draft,0,"",InReview,2024-02-28 02:03:31 AM
do_1134758248974008321281,013413016323874816106,SVPNPA,Odia Language,Course,"","","","",11:37:00,3.75,2022-09-23,"",Live,109,5,InReview,2024-02-28 02:03:31 AM
do_113490260879032320136,01341208111149875242,Ministry of Power,Pulverizer and Boiler Fuel Firing System,Course,"","","","",00:54:21,4.764705882352941,2023-05-15,"",Live,5,110,Reviewed,2024-02-28 02:03:31 AM
do_113574298799284224184,0134913087249776646170,Ministry of Mines,Techniques of Mapping in Flood Basalt Provinces,Course,"","","","",05:12:02,3.5,2022-07-16,"",Retired,38,1,Reviewed,2024-02-28 02:03:31 AM
do_1136237879622287361273,0133872821604761600,Institute of Secretariat Training and Management,Self-Paced Learning for Principal Private Secretaries,Program,"","","","",08:32:02,4.413793103448276,2023-01-23,"",Live,28,10,Reviewed,2024-02-28 02:03:31 AM
do_1136364244148060161889,0136364025461473287707,Microsoft,Microsoft Word Beginners,Course,"","","","",02:56:06,4.534032197678772,2023-05-22,"",Live,29,176572,SentToPublish,2024-02-28 02:03:31 AM
do_113706570372939776126,0133809553768366080,CBP Karmayogi,curatedtestjan,Program,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138142166074900481128,0133872821604761600,Institute of Secretariat Training and Management,Sanitation Technologies,Program,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138179704791695361235,013594775897538560248,Department of Posts,BIMA DEeP (Praveenta - 3),Course,"","","","",01:56:00,4.38740157480315,2023-10-16,"",Live,35,3385,SentToPublish,2024-02-28 02:03:31 AM
do_1138582111773245441107,013856570457464832252,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN)",Advance Ruling in Customs,Course,"","","","",00:44:21,4.598726114649682,2023-08-11,"",Live,4,1193,SentToPublish,2024-02-28 02:03:31 AM
do_1138708682354442241197,01341136245758361636,Department of Personnel and Training DoPT,BOB DRAFT-1,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113905565681811456187,013631090918367232577,RCVP Noronha Academy of Administration and Management (RCVPNAAM) Bhopal,COMMIT Madhya Pradesh,Program,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113916129916059648124,01341136245758361636,Department of Personnel and Training DoPT,commit telangana,Program,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1139260842051829761126.img,0139077787226685440,Dr Marri Chenna Reddy Human Resource Development Institute of Telangana,సమస్య పరిష్కారం మరియు నిర్ణయం తీసుకోవడం,Course,"","","","",01:30:00,"",2023-11-21,"",Draft,6,"",InReview,2024-02-28 02:03:31 AM
do_113967043112017920197,0133783095823810560,Karmayogi Bharat,ABCDEFGHIJK,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113968486854647808113,01364991683959193671,The Art of Living,Yoga Challenge,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_11398533507390668811,013596173201997824229,Department of Investment and Public Asset Management,Strategic Disinvestment,Course,"","","","",00:56:05,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1139919587260497921100_rc,01346691669720268818,Bureau of Police Research and Development BPRD,e Ustad: Soft Skills and Communication Skills,Course,"","","","",01:00:00,4.375,2024-02-19,"",Live,6,12,SentToPublish,2024-02-28 02:03:31 AM
do_1133974291998965761171,0133872821604761600,Institute of Secretariat Training and Management,Content Curation for iGOT Karmayogi,Course,"","","","",00:06:00,5.0,2021-10-29,"",Retired,3,9,Reviewed,2024-02-28 02:03:31 AM
do_1134858063191818241387,01341081529829785612,Ministry of Rural Development,"Procurement of Services, Works and Contract Management",Course,"","","","",19:30:00,"","",2022-03-02,Retired,0,"","",2024-02-28 02:03:31 AM
do_11353892143385804817,0134086213264506888,World Bank,Climate Change and Health,Course,"","","","",00:20:00,4.1875,2022-06-29,"",Retired,2,5,Reviewed,2024-02-28 02:03:31 AM
do_113572236010463232162,0134568228588257282,Ministry of Railways,Test IGOT course,Course,"","","","",00:00:00,"","",2022-07-05,Retired,0,"","",2024-02-28 02:03:31 AM
do_1136097356495421441318,0134913087249776646170,Ministry of Mines,"Mine Abandonment, Reclamation & Rehabilitation of Mine Site",Course,"","","","",00:30:00,"","",2022-08-24,Retired,0,"","",2024-02-28 02:03:31 AM
do_113620328426323968136,013618933546754048361,Government e Market Place(GeM),Introduction to GeM for Buyers,Course,"","","","",01:02:48,4.613152804642167,2023-04-17,"",Live,7,2918,SentToPublish,2024-02-28 02:03:31 AM
do_1136357041133076481833,0134913087249776646170,Ministry of Mines,Fundamentals of Mapping Techniques in Granite-Greenstone Terrain,Course,"","","","",07:30:15,4.555555555555555,2022-10-17,"",Live,70,30,SentToPublish,2024-02-28 02:03:31 AM
do_113699625989906432150,0136045931518525447690,Indian Council of Forestry Research and Education,testljnljnlkn,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_11372417841848320013,0135997900135055367644,Defence Accounts Department (DAD),Test Course,Course,"","","","",00:00:00,"","",2023-02-09,Retired,0,"","",2024-02-28 02:03:31 AM
do_113729173340225536144,0135346646711500804337,Bharat Sanchar Nigam Limited(BSNL),BSNL_IGOT Training,Program,"","","","",00:00:00,"","",2023-02-09,Retired,0,"","",2024-02-28 02:03:31 AM
do_11373205559730995213,013417291147681792174,Ministry of Housing and Urban Affairs,Enabling Data Driven Decision Making for Urban Local Bodies,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1137433124187832321328,013568638827937792416,National Institute of Communication Finance,A COURSE ON TDS UNDER GST ACT,Course,"","","","",00:54:24,4.558528428093646,2023-05-23,"",Live,13,1501,SentToPublish,2024-02-28 02:03:31 AM
do_1138120680664023041217,0133872821604761600,Institute of Secretariat Training and Management,"Landmark Judgments- RTI Act, 2005",Course,"","","","",01:10:00,4.583333333333333,2023-06-06,"",Live,2,328,SentToPublish,2024-02-28 02:03:31 AM
do_1138218522923008001344,01341136245758361636,Department of Personnel and Training DoPT,SOCIAL JUSTICE,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113827634862047232152,01341136245758361636,Department of Personnel and Training DoPT,Team Building,Course,"","","","",01:25:00,4.634090909090909,2023-06-28,"",Live,6,2824,SentToPublish,2024-02-28 02:03:31 AM
do_113851685678759936134,01341081529829785612,Ministry of Rural Development,Waste plastic Modified Bituminous Mixes for Rural Roads,Course,"","","","",01:50:00,4.290909090909091,2023-09-12,"",Retired,2,147,InReview,2024-02-28 02:03:31 AM
do_1138645692105277441170,01341209094833766448,Ministry of Skill Development and Entrepreneurship,Know Your Ministry Induction Module of MSDE,Course,"","","","",04:59:00,4.613526570048309,2023-08-23,"",Live,2,733,SentToPublish,2024-02-28 02:03:31 AM
do_11387129360006348811,0133809553768366080,CBP Karmayogi,Test blended program - do not enroll,Blended Program,"","","","",00:00:00,"","","",Retired,0,"",InReview,2024-02-28 02:03:31 AM
do_113880781408100352156,01341136245758361636,Department of Personnel and Training DoPT,health and nutritioun,Program,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_11388206245486592014,01341209715000115258,RAKNPA,Mail Products and Services : India Post,Course,"","","","",01:05:00,4.397030651340996,2023-09-14,"",Live,2,8109,SentToPublish,2024-02-28 02:03:31 AM
do_1138905447607828481207,01386650283604377619857,UpGrad,R Programming,Course,"","","","",02:49:30,4.518518518518518,2023-11-01,"",Live,44,106,SentToPublish,2024-02-28 02:03:31 AM
do_113901359155732480113,0133809553768366080,CBP Karmayogi,Angular program,Program,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_11397068519763968011,01364917671846707254,Other,Tester160124,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1134149270973480961372,01341208111149875242,Ministry of Power,Erection of Boiler and Auxiliaries Module,Course,"","","","",01:35:44,4.714285714285714,2023-04-19,"",Live,6,34,SentToPublish,2024-02-28 02:03:31 AM
do_11353950539473715219,01341208111149875242,Ministry of Power,Smart Grid Fundamentals,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1136294832765747201723,01341209715000115258,RAKNPA,डाक जीवन बीमा (पीएलआई),Course,"","","","",00:57:00,4.443194600674915,2023-03-29,"",Live,3,5524,SentToPublish,2024-02-28 02:03:31 AM
do_1137073438695424001105,0135997900135055367644,Defence Accounts Department (DAD),Orientation Course for Joint Secretaries and above Serving in MoD,Program,"","","","",00:00:00,"","",2023-01-09,Retired,0,"","",2024-02-28 02:03:31 AM
do_113817684114825216163,013594775897538560248,Department of Posts,Pay and Accounts,Program,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138318578696028161117,013816946419662848850,Delhi Metro Rail Corporation,Passenger Detrainment and Evacuation Process in Metro Rail System,Course,"","","","",00:46:15,4.4523809523809526,2023-07-07,"",Live,9,133,SentToPublish,2024-02-28 02:03:31 AM
do_1138623717664686081113,01341136245758361636,Department of Personnel and Training DoPT,sample 2233,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1138991438655897601489,013594775897538560248,Department of Posts,Post Office National Savings Scheme - Finacle Workflow,Course,"","","","",00:23:07,4.567204301075269,2023-10-09,"",Live,10,3115,SentToPublish,2024-02-28 02:03:31 AM
do_113920411420155904183,0133872821604761600,Institute of Secretariat Training and Management,Parliament At Work- Government Assurances,Course,"","","","",00:40:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113960617210494976113_rc,0133783095823810560,Karmayogi Bharat,Unlocking the Power of Technology: An Online Course for Beginners,Course,"","","","",00:09:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113960666999119872121,01361462978403532831,U.P. Academy of Administration and Management (UPAAM) Govt. of Uttar Pradesh,COMMIT Uttar Pradesh,Program,"","","","",20:20:00,4.888888888888889,2024-01-28,"",Live,86,"",Reviewed,2024-02-28 02:03:31 AM
do_113994680958164992189,01341136245758361636,Department of Personnel and Training DoPT,"Introduction to Bharatiya Nagarik Suraksha Sanhita, 2023",Course,"","","","",01:22:37,"",2024-02-20,"",Retired,3,5,SentToPublish,2024-02-28 02:03:31 AM
do_1139960159887032321115,013618933546754048361,Government e Market Place(GeM),Advanced Course for Buyers,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
